Pfad;Name;Dateityp;BreiteHoehe;Seitenverhaeltnis;Alpha;GroesseBytes;SHA256;Kategorie;State;Zielkomponente;Duplikatgruppe;InV2Verwendet;SpaeterNutzbar
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\00_PREVIEW\DeutschZ_UI_Kit_Preview.jpg;DeutschZ_UI_Kit_Preview.jpg;.jpg;1800x1200;1.500000;NEIN;164817;28D79B5A0F1303FDF9BA17BB14629FE917D51BD872AE8BBAC4FC306FC55F4784;UNKNOWN;NORMAL;Nicht zugeordnet;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Bottom_Navigation_active.png;Bottom_Navigation_active.png;.png;1580x160;9.875000;JA;5096;5FDB724012C590B485925AAF859AB2D3DE8EACEB7DD8EB11DD4929116F94E38F;NAVIGATION;ACTIVE;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Bottom_Navigation_disabled.png;Bottom_Navigation_disabled.png;.png;1580x160;9.875000;JA;2617;9FF3650FAFE945785239126727F1EFEB131F336A93E27149C78EA7856FC333D7;NAVIGATION;DISABLED;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Bottom_Navigation_normal.png;Bottom_Navigation_normal.png;.png;1580x160;9.875000;JA;2743;CB1709AF915353307B324D0EE2B621723293C9ADBF96E28F8F157B054EA45EEA;NAVIGATION;NORMAL;panels/bottom_navigation_normal.paa;;JA;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Bottom_Navigation_offline.png;Bottom_Navigation_offline.png;.png;1580x160;9.875000;JA;2665;95E156DDDF3481DED5C3E2044238E69BE824EC3236C7E5310520603FADED4666;NAVIGATION;OFFLINE;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Bottom_Navigation_warning.png;Bottom_Navigation_warning.png;.png;1580x160;9.875000;JA;5273;8CBE08639755C9A258D45FF51253F3E09B2C3E2F548FE0687E42B9B87D55337A;NAVIGATION;WARNING;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Character_Stats_active.png;Character_Stats_active.png;.png;1220x160;7.625000;JA;4878;510B5FBD3B3FF2132375D652CAA00368F33958A4C59A5E47E8C5CE5B7E5A8B1C;PLAYER_STATUS;ACTIVE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Character_Stats_disabled.png;Character_Stats_disabled.png;.png;1220x160;7.625000;JA;2413;977B41CA477469A5F45D3B6F6012D8A5B5B2753EEBBF59E1D2BAC7219EBB0FEA;PLAYER_STATUS;DISABLED;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Character_Stats_normal.png;Character_Stats_normal.png;.png;1220x160;7.625000;JA;2482;0DB564261DC93363EAE6089F75D02514556093533767CD7CC5EF41145C85E6D1;PLAYER_STATUS;NORMAL;panels/character_stats_normal.paa;;JA;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Character_Stats_offline.png;Character_Stats_offline.png;.png;1220x160;7.625000;JA;2450;E3C050FEC536304D77B1333D7F6B6EE3BC5143D45803163CACCEA0EAAF2D63BC;PLAYER_STATUS;OFFLINE;Panel-Reserve;;NEIN;JA
